,Código IBGE,UF,MUNICiPIO,CoDIGO_NACIONAL
5487,1300144,AM,APUÍ,97
5488,1300102,AM,ANORI,97
5489,1300086,AM,ANAMÃ,97
5490,1300060,AM,AMATURÁ,97
5491,1300029,AM,ALVARÃES,97
5492,1200807,AC,PORTO ACRE,68
5493,1200708,AC,XAPURI,68
5494,1200609,AC,TARAUACÁ,68
5495,1200500,AC,SENA MADUREIRA,68
5496,1200450,AC,SENADOR GUIOMARD,68
5497,1200435,AC,SANTA ROSA DO PURUS,68
5498,1200427,AC,RODRIGUES ALVES,68
5499,1200401,AC,RIO BRANCO,68
5500,1200393,AC,PORTO WALTER,68
5501,1200385,AC,PLÁCIDO DE CASTRO,68
5502,1200351,AC,MARECHAL THAUMATURGO,68
5503,1200344,AC,MANOEL URBANO,68
5504,1200336,AC,MÂNCIO LIMA,68
5505,1200328,AC,JORDÃO,68
5506,1200302,AC,FEIJÓ,68
5507,1200252,AC,EPITACIOLÂNDIA,68
5508,1200203,AC,CRUZEIRO DO SUL,68
5509,1200179,AC,CAPIXABA,68
5510,1200138,AC,BUJARI,68
5511,1200104,AC,BRASILÉIA,68
5512,1200054,AC,ASSIS BRASIL,68
5513,1200013,AC,ACRELÂNDIA,68
5514,1101807,RO,VALE DO PARAÍSO,69
5515,1101757,RO,VALE DO ANARI,69
5516,1101708,RO,URUPÁ,69
5517,1101609,RO,THEOBROMA,69
5518,1101559,RO,TEIXEIRÓPOLIS,69
5519,1101500,RO,SERINGUEIRAS,69
5520,1101492,RO,SÃO FRANCISCO DO GUAPORÉ,69
5521,1101484,RO,SÃO FELIPE D'OESTE,69
5522,1101476,RO,PRIMAVERA DE RONDÔNIA,69
5523,1101468,RO,PIMENTEIRAS DO OESTE,69
5524,1101450,RO,PARECIS,69
5525,1101435,RO,NOVA UNIÃO,69
5526,1101401,RO,MONTE NEGRO,69
5527,1101302,RO,MIRANTE DA SERRA,69
5528,1101203,RO,MINISTRO ANDREAZZA,69
5529,1101104,RO,ITAPUÃ DO OESTE,69
5530,1101005,RO,GOVERNADOR JORGE TEIXEIRA,69
5531,1100940,RO,CUJUBIM,69
