,Código IBGE,UF,MUNICiPIO,CoDIGO_NACIONAL
363,5107107,MT,SÃO JOSÉ DOS QUATRO MARCOS,65
364,5107065,MT,QUERÊNCIA,66
365,5107040,MT,PRIMAVERA DO LESTE,66
366,5107008,MT,POXORÉO,66
367,5106851,MT,PORTO ESTRELA,65
368,5106828,MT,PORTO ESPERIDIÃO,65
369,5106802,MT,PORTO DOS GAÚCHOS,66
370,5106778,MT,PORTO ALEGRE DO NORTE,66
371,5106752,MT,PONTES E LACERDA,65
372,5106703,MT,PONTE BRANCA,66
373,5106653,MT,PONTAL DO ARAGUAIA,66
374,5106505,MT,POCONÉ,65
375,5106455,MT,PLANALTO DA SERRA,66
376,5106422,MT,PEIXOTO DE AZEVEDO,66
377,5106372,MT,PEDRA PRETA,66
378,5106307,MT,PARANATINGA,66
379,5106299,MT,PARANAÍTA,66
380,5106281,MT,NOVO SÃO JOAQUIM,66
381,5106273,MT,NOVO HORIZONTE DO NORTE,66
382,5106265,MT,NOVO MUNDO,66
383,5106257,MT,NOVA XAVANTINA,66
384,5106240,MT,NOVA UBIRATÃ,66
385,5106232,MT,NOVA OLÍMPIA,65
386,5106224,MT,NOVA MUTUM,65
387,5106208,MT,NOVA BRASILÂNDIA,66
388,5106190,MT,NOVA SANTA HELENA,66
389,5106182,MT,NOVA LACERDA,65
390,5106174,MT,NOVA NAZARÉ,66
391,5106158,MT,NOVA BANDEIRANTES,66
392,5106109,MT,NOSSA SENHORA DO LIVRAMENTO,65
393,5106000,MT,NORTELÂNDIA,65
394,5105903,MT,NOBRES,65
395,5105622,MT,MIRASSOL D'OESTE,65
396,5105606,MT,MATUPÁ,66
397,5105580,MT,MARCELÂNDIA,66
398,5105507,MT,VILA BELA DA SANTÍSSIMA TRINDADE,65
399,5105309,MT,LUCIÁRA,66
400,5105259,MT,LUCAS DO RIO VERDE,65
401,5105234,MT,LAMBARI D'OESTE,65
402,5105200,MT,JUSCIMEIRA,66
403,5105176,MT,JURUENA,66
404,5105150,MT,JUÍNA,66
405,5105101,MT,JUARA,66
406,5105002,MT,JAURU,65
407,5104906,MT,JANGADA,65
408,5104807,MT,JACIARA,66
409,5104609,MT,ITIQUIRA,65
410,5104559,MT,ITAÚBA,66
411,5104500,MT,INDIAVAÍ,65
412,5104203,MT,GUIRATINGA,66
413,5104104,MT,GUARANTÃ DO NORTE,66
414,5103957,MT,GLÓRIA D'OESTE,65
415,5103908,MT,GENERAL CARNEIRO,66
416,5103858,MT,GAÚCHA DO NORTE,66
417,5103809,MT,FIGUEIRÓPOLIS D'OESTE,65
418,5103700,MT,FELIZ NATAL,66
419,5103601,MT,DOM AQUINO,66
420,5103502,MT,DIAMANTINO,65
421,5103452,MT,DENISE,65
422,5103403,MT,CUIABÁ,65
423,5103379,MT,COTRIGUAÇU,66
424,5103353,MT,CONFRESA,66
425,5103304,MT,COMODORO,65
426,5103254,MT,COLNIZA,66
427,5103205,MT,COLÍDER,66
428,5103106,MT,COCALINHO,66
429,5103056,MT,CLÁUDIA,66
430,5103007,MT,CHAPADA DOS GUIMARÃES,65
431,5102850,MT,CASTANHEIRA,66
432,5102793,MT,CARLINDA,66
433,5102702,MT,CANARANA,66
434,5102694,MT,CANABRAVA DO NORTE,66
435,5102686,MT,CAMPOS DE JÚLIO,65
436,5102678,MT,CAMPO VERDE,66
437,5102637,MT,CAMPO NOVO DO PARECIS,65
438,5102603,MT,CAMPINÁPOLIS,66
439,5102504,MT,CÁCERES,65
440,5101902,MT,BRASNORTE,66
441,5101852,MT,BOM JESUS DO ARAGUAIA,66
442,5101803,MT,BARRA DO GARÇAS,66
443,5101704,MT,BARRA DO BUGRES,65
444,5101605,MT,BARÃO DE MELGAÇO,65
445,5101407,MT,ARIPUANÃ,66
446,5101308,MT,ARENÁPOLIS,65
447,5101258,MT,ARAPUTANGA,65
448,5101209,MT,ARAGUAINHA,66
449,5101001,MT,ARAGUAIANA,66
450,5100805,MT,APIACÁS,66
451,5100607,MT,ALTO TAQUARI,66
452,5100508,MT,ALTO PARAGUAI,65
453,5100409,MT,ALTO GARÇAS,66
454,5100359,MT,ALTO BOA VISTA,66
455,5100300,MT,ALTO ARAGUAIA,66
456,5100250,MT,ALTA FLORESTA,66
457,5100201,MT,ÁGUA BOA,66
458,5100102,MT,ACORIZAL,65
459,5008404,MS,VICENTINA,67
460,5008305,MS,TRÊS LAGOAS,67
461,5008008,MS,TERENOS,67
462,5007976,MS,TAQUARUSSU,67
463,5007950,MS,TACURU,67
464,5007935,MS,SONORA,67
465,5007901,MS,SIDROLÂNDIA,67
466,5007802,MS,SELVÍRIA,67
467,5007703,MS,SETE QUEDAS,67
468,5007695,MS,SÃO GABRIEL DO OESTE,67
469,5007554,MS,SANTA RITA DO PARDO,67
470,5007505,MS,ROCHEDO,67
471,5007406,MS,RIO VERDE DE MATO GROSSO,67
472,5007307,MS,RIO NEGRO,67
473,5007208,MS,RIO BRILHANTE,67
474,5007109,MS,RIBAS DO RIO PARDO,67
475,5006903,MS,PORTO MURTINHO,67
476,5006606,MS,PONTA PORÃ,67
477,5006408,MS,PEDRO GOMES,67
478,5006358,MS,PARANHOS,67
479,5006309,MS,PARANAÍBA,67
480,5006259,MS,NOVO HORIZONTE DO SUL,67
481,5006200,MS,NOVA ANDRADINA,67
482,5006002,MS,NOVA ALVORADA DO SUL,67
483,5005806,MS,NIOAQUE,67
484,5005707,MS,NAVIRAÍ,67
485,5005681,MS,MUNDO NOVO,67
486,5005608,MS,MIRANDA,67
487,5005400,MS,MARACAJU,67
488,5005251,MS,LAGUNA CARAPÃ,67
489,5005202,MS,LADÁRIO,67
490,5005152,MS,JUTI,67
491,5005103,MS,JATEÍ,67
492,5005004,MS,JARDIM,67
493,5004908,MS,JARAGUARI,67
494,5004809,MS,JAPORÃ,67
495,5004700,MS,IVINHEMA,67
496,5004601,MS,ITAQUIRAÍ,67
497,5004502,MS,ITAPORÃ,67
498,5004403,MS,INOCÊNCIA,67
499,5004304,MS,IGUATEMI,67
500,5004106,MS,GUIA LOPES DA LAGUNA,67
501,5004007,MS,GLÓRIA DE DOURADOS,67
502,5003801,MS,FÁTIMA DO SUL,67
503,5003751,MS,ELDORADO,67
504,5003702,MS,DOURADOS,67
505,5003504,MS,DOURADINA,67
506,5003488,MS,DOIS IRMÃOS DO BURITI,67
507,5003454,MS,DEODÁPOLIS,67
508,5003306,MS,COXIM,67
509,5003256,MS,COSTA RICA,67
510,5003207,MS,CORUMBÁ,67
511,5003157,MS,CORONEL SAPUCAIA,67
512,5003108,MS,CORGUINHO,67
513,5002951,MS,CHAPADÃO DO SUL,67
514,5002902,MS,CASSILÂNDIA,67
515,5002803,MS,CARACOL,67
516,5002704,MS,CAMPO GRANDE,67
517,5002605,MS,CAMAPUÃ,67
518,5002407,MS,CAARAPÓ,67
519,5002308,MS,BRASILÂNDIA,67
520,5002209,MS,BONITO,67
521,5002159,MS,BODOQUENA,67
522,5002100,MS,BELA VISTA,67
523,5001904,MS,BATAGUASSU,67
524,5001508,MS,BANDEIRANTES,67
525,5001243,MS,ARAL MOREIRA,67
526,5001102,MS,AQUIDAUANA,67
527,5001003,MS,APARECIDA DO TABOADO,67
528,5000906,MS,ANTÔNIO JOÃO,67
529,5000856,MS,ANGÉLICA,67
530,5000807,MS,ANAURILÂNDIA,67
531,5000708,MS,ANASTÁCIO,67
532,5000252,MS,ALCINÓPOLIS,67
533,5000203,MS,ÁGUA CLARA,67
534,4323804,RS,XANGRI-LÁ,51
535,4323770,RS,WESTFALIA,51
536,4323754,RS,VITÓRIA DAS MISSÕES,55
537,4323705,RS,VISTA GAÚCHA,55
538,4323606,RS,VISTA ALEGRE DO PRATA,54
539,4323507,RS,VISTA ALEGRE,55
540,4323457,RS,VILA NOVA DO SUL,55
541,4323408,RS,VILA MARIA,54
542,4323358,RS,VILA LÂNGARO,54
543,4323309,RS,VILA FLORES,54
544,4323200,RS,VICTOR GRAEFF,54
545,4323101,RS,VICENTE DUTRA,55
546,4323002,RS,VIAMÃO,51
547,4322905,RS,VIADUTOS,54
548,4322855,RS,VESPASIANO CORREA,51
549,4322806,RS,VERANÓPOLIS,54
550,4322707,RS,VERA CRUZ,51
551,4322608,RS,VENÂNCIO AIRES,51
552,4322558,RS,VANINI,54
553,4322541,RS,VALE REAL,51
554,4322533,RS,VALE DO SOL,51
555,4322525,RS,VALE VERDE,51
556,4322509,RS,VACARIA,54
557,4322400,RS,URUGUAIANA,55
558,4322376,RS,UNISTALDA,55
559,4322350,RS,UNIÃO DA SERRA,54
560,4322343,RS,UBIRETAMA,55
561,4322327,RS,TURUÇU,53
562,4322301,RS,TUPARENDI,55
563,4322251,RS,TUPANDI,51
564,4322202,RS,TUPANCIRETÃ,55
565,4322186,RS,TUPANCI DO SUL,54
566,4322152,RS,TUNAS,51
567,4322103,RS,TUCUNDUVA,55
568,4322004,RS,TRIUNFO,51
569,4321956,RS,TRINDADE DO SUL,54
570,4321907,RS,TRÊS PASSOS,55
571,4321857,RS,TRÊS PALMEIRAS,54
572,4321832,RS,TRÊS FORQUILHAS,51
573,4321808,RS,TRÊS DE MAIO,55
574,4321709,RS,TRÊS COROAS,51
575,4321667,RS,TRÊS CACHOEIRAS,51
576,4321634,RS,TRÊS ARROIOS,54
577,4321626,RS,TRAVESSEIRO,51
578,4321600,RS,TRAMANDAÍ,51
579,4321501,RS,TORRES,51
580,4321493,RS,TOROPI,55
581,4321477,RS,TIRADENTES DO SUL,55
582,4321469,RS,TIO HUGO,54
583,4321451,RS,TEUTÔNIA,51
584,4321436,RS,TERRA DE AREIA,51
585,4321402,RS,TENENTE PORTELA,55
586,4321352,RS,TAVARES,51
587,4321329,RS,TAQUARUÇU DO SUL,55
588,4321303,RS,TAQUARI,51
589,4321204,RS,TAQUARA,51
590,4321105,RS,TAPES,51
591,4321006,RS,TAPERA,54
592,4320909,RS,TAPEJARA,54
593,4320859,RS,TABAÍ,51
594,4320800,RS,SOLEDADE,54
595,4320701,RS,SOBRADINHO,51
596,4320677,RS,SINIMBU,51
597,4320651,RS,SILVEIRA MARTINS,55
598,4320602,RS,SEVERIANO DE ALMEIDA,54
599,4320578,RS,SETE DE SETEMBRO,55
600,4320552,RS,SERTÃO SANTANA,51
601,4320503,RS,SERTÃO,54
602,4320453,RS,SÉRIO,51
603,4320404,RS,SERAFINA CORRÊA,54
604,4320354,RS,SENTINELA DO SUL,51
605,4320321,RS,SENADOR SALGADO FILHO,55
606,4320305,RS,SELBACH,54
607,4320263,RS,SEGREDO,51
608,4320230,RS,SEDE NOVA,55
609,4320206,RS,SEBERI,55
610,4320107,RS,SARANDI,54
611,4320008,RS,SAPUCAIA DO SUL,51
612,4319901,RS,SAPIRANGA,51
613,4319802,RS,SÃO VICENTE DO SUL,55
614,4319752,RS,SÃO VENDELINO,51
615,4319737,RS,SÃO VALÉRIO DO SUL,55
616,4319711,RS,SÃO VALENTIM DO SUL,54
617,4319703,RS,SÃO VALENTIM,54
618,4319604,RS,SÃO SEPÉ,55
619,4319505,RS,SÃO SEBASTIÃO DO CAÍ,51
620,4319406,RS,SÃO PEDRO DO SUL,55
621,4319372,RS,SÃO PEDRO DO BUTIÁ,55
622,4319356,RS,SÃO PEDRO DA SERRA,51
623,4319307,RS,SÃO PAULO DAS MISSÕES,55
624,4319208,RS,SÃO NICOLAU,55
625,4319158,RS,SÃO MIGUEL DAS MISSÕES,55
626,4319125,RS,SÃO MARTINHO DA SERRA,55
627,4319109,RS,SÃO MARTINHO,55
628,4319000,RS,SÃO MARCOS,54
629,4318903,RS,SÃO LUIZ GONZAGA,55
630,4318804,RS,SÃO LOURENÇO DO SUL,53
631,4318705,RS,SÃO LEOPOLDO,51
632,4318622,RS,SÃO JOSÉ DOS AUSENTES,54
633,4318606,RS,SÃO JOSÉ DO OURO,54
634,4318507,RS,SÃO JOSÉ DO NORTE,53
635,4318499,RS,SÃO JOSÉ DO INHACORÁ,55
636,4318481,RS,SÃO JOSÉ DO HORTÊNCIO,51
637,4318465,RS,SÃO JOSÉ DO HERVAL,54
638,4318457,RS,SÃO JOSÉ DAS MISSÕES,55
639,4318440,RS,SÃO JORGE,54
640,4318432,RS,SÃO JOÃO DO POLÊSINE,55
641,4318424,RS,SÃO JOÃO DA URTIGA,54
642,4318408,RS,SÃO JERÔNIMO,51
643,4318309,RS,SÃO GABRIEL,55
644,4318200,RS,SÃO FRANCISCO DE PAULA,54
645,4318101,RS,SÃO FRANCISCO DE ASSIS,55
646,4318051,RS,SÃO DOMINGOS DO SUL,54
647,4318002,RS,SÃO BORJA,55
648,4317954,RS,SANTO EXPEDITO DO SUL,54
649,4317905,RS,SANTO CRISTO,55
650,4317806,RS,SANTO AUGUSTO,55
651,4317756,RS,SANTO ANTÔNIO DO PLANALTO,54
652,4317707,RS,SANTO ANTÔNIO DAS MISSÕES,55
653,4317608,RS,SANTO ANTÔNIO DA PATRULHA,51
654,4317558,RS,SANTO ANTÔNIO DO PALMA,54
655,4317509,RS,SANTO ÂNGELO,55
656,4317400,RS,SANTIAGO,55
657,4317301,RS,SANTA VITÓRIA DO PALMAR,53
658,4317251,RS,SANTA TEREZA,54
659,4317202,RS,SANTA ROSA,55
660,4317004,RS,SANTANA DA BOA VISTA,53
661,4316972,RS,SANTA MARGARIDA DO SUL,55
662,4316956,RS,SANTA MARIA DO HERVAL,51
663,4316907,RS,SANTA MARIA,55
664,4316808,RS,SANTA CRUZ DO SUL,51
665,4316758,RS,SANTA CLARA DO SUL,51
666,4316709,RS,SANTA BÁRBARA DO SUL,55
667,4316600,RS,SANANDUVA,54
668,4316501,RS,SALVADOR DO SUL,51
669,4316477,RS,SALVADOR DAS MISSÕES,55
670,4316451,RS,SALTO DO JACUÍ,55
671,4316436,RS,SALDANHA MARINHO,55
672,4316428,RS,SAGRADA FAMÍLIA,55
673,4316402,RS,ROSÁRIO DO SUL,55
674,4316303,RS,ROQUE GONZALES,55
675,4316204,RS,RONDINHA,54
676,4316105,RS,RONDA ALTA,54
677,4316006,RS,ROLANTE,51
678,4315958,RS,ROLADOR,55
679,4315909,RS,RODEIO BONITO,55
680,4315800,RS,ROCA SALES,51
681,4315750,RS,RIOZINHO,51
682,4315701,RS,RIO PARDO,51
683,4315602,RS,RIO GRANDE,53
684,4315503,RS,RESTINGA SECA,55
685,4315453,RS,RELVADO,51
686,4315404,RS,REDENTORA,55
687,4315354,RS,QUINZE DE NOVEMBRO,54
688,4315321,RS,QUEVEDOS,55
689,4315305,RS,QUARAÍ,55
690,4315206,RS,PUTINGA,51
691,4315172,RS,PROTÁSIO ALVES,54
692,4315156,RS,PROGRESSO,51
693,4315149,RS,PRESIDENTE LUCENA,51
694,4315131,RS,POUSO NOVO,51
695,4315107,RS,PORTO XAVIER,55
696,4315073,RS,PORTO VERA CRUZ,55
697,4315057,RS,PORTO MAUÁ,55
698,4315008,RS,PORTO LUCENA,55
699,4314902,RS,PORTO ALEGRE,51
700,4314803,RS,PORTÃO,51
701,4314787,RS,PONTE PRETA,54
702,4314779,RS,PONTÃO,54
703,4314753,RS,POÇO DAS ANTAS,51
704,4314704,RS,PLANALTO,55
705,4314605,RS,PIRATINI,53
706,4314555,RS,PIRAPÓ,55
707,4314548,RS,PINTO BANDEIRA,54
708,4314506,RS,PINHEIRO MACHADO,53
709,4314498,RS,PINHEIRINHO DO VALE,55
710,4314472,RS,PINHAL GRANDE,55
711,4314464,RS,PINHAL DA SERRA,54
712,4314456,RS,PINHAL,55
713,4314423,RS,PICADA CAFÉ,54
714,4314407,RS,PELOTAS,53
715,4314308,RS,PEJUÇARA,55
716,4314209,RS,PEDRO OSÓRIO,53
717,4314175,RS,PEDRAS ALTAS,53
718,4314159,RS,PAVERAMA,51
719,4314134,RS,PAULO BENTO,54
720,4314100,RS,PASSO FUNDO,54
721,4314076,RS,PASSO DO SOBRADO,51
722,4314068,RS,PASSA SETE,51
723,4314050,RS,PAROBÉ,51
724,4314035,RS,PARECI NOVO,51
725,4314027,RS,PARAÍSO DO SUL,55
726,4314001,RS,PARAÍ,54
727,4313904,RS,PANAMBI,55
728,4313805,RS,PALMITINHO,55
729,4313706,RS,PALMEIRA DAS MISSÕES,55
730,4313656,RS,PALMARES DO SUL,51
731,4313607,RS,PAIM FILHO,54
732,4313508,RS,OSÓRIO,51
733,4313490,RS,NOVO BARREIRO,55
734,4313466,RS,NOVO XINGU,54
735,4313441,RS,NOVO TIRADENTES,55
736,4313425,RS,NOVO MACHADO,55
737,4313409,RS,NOVO HAMBURGO,51
738,4313391,RS,NOVO CABRAIS,51
739,4313375,RS,NOVA SANTA RITA,51
740,4313359,RS,NOVA ROMA DO SUL,54
741,4313334,RS,NOVA RAMADA,55
742,4313300,RS,NOVA PRATA,54
743,4313201,RS,NOVA PETRÓPOLIS,54
744,4313102,RS,NOVA PALMA,55
745,4313086,RS,NOVA PÁDUA,54
746,4313060,RS,NOVA HARTZ,51
747,4313037,RS,NOVA ESPERANÇA DO SUL,55
748,4313011,RS,NOVA CANDELÁRIA,55
749,4313003,RS,NOVA BRÉSCIA,51
750,4312955,RS,NOVA BOA VISTA,54
751,4312906,RS,NOVA BASSANO,54
752,4312807,RS,NOVA ARAÇÁ,54
753,4312757,RS,NOVA ALVORADA,54
754,4312708,RS,NONOAI,54
755,4312674,RS,NICOLAU VERGUEIRO,54
756,4312658,RS,NÃO-ME-TOQUE,54
757,4312625,RS,MULITERNO,54
758,4312617,RS,MUITOS CAPÕES,54
759,4312609,RS,MUÇUM,51
760,4312500,RS,MOSTARDAS,51
761,4312476,RS,MORRO REUTER,51
762,4312450,RS,MORRO REDONDO,53
763,4312443,RS,MORRINHOS DO SUL,51
764,4312427,RS,MORMAÇO,54
765,4312401,RS,MONTENEGRO,51
766,4312385,RS,MONTE BELO DO SUL,54
767,4312377,RS,MONTE ALEGRE DOS CAMPOS,54
768,4312351,RS,MONTAURI,54
769,4312302,RS,MIRAGUAÍ,55
770,4312252,RS,MINAS DO LEÃO,51
771,4312203,RS,MAXIMILIANO DE ALMEIDA,54
772,4312179,RS,MATO QUEIMADO,55
773,4312153,RS,MATO LEITÃO,51
774,4312138,RS,MATO CASTELHANO,54
775,4312104,RS,MATA,55
776,4312054,RS,MARQUES DE SOUZA,51
777,4312005,RS,MARIANO MORO,54
778,4311981,RS,MARIANA PIMENTEL,51
779,4311908,RS,MARCELINO RAMOS,54
780,4311809,RS,MARAU,54
781,4311791,RS,MARATÁ,51
782,4311775,RS,MAQUINÉ,51
783,4311759,RS,MANOEL VIANA,55
784,4311734,RS,MAMPITUBA,51
785,4311718,RS,MAÇAMBARA,55
786,4311700,RS,MACHADINHO,54
787,4311643,RS,LINHA NOVA,51
788,4311627,RS,LINDOLFO COLLOR,51
789,4311601,RS,LIBERATO SALZANO,55
790,4311502,RS,LAVRAS DO SUL,55
791,4311429,RS,LAJEADO DO BUGRE,55
792,4311403,RS,LAJEADO,51
793,4311304,RS,LAGOA VERMELHA,54
794,4311270,RS,LAGOA DOS TRÊS CANTOS,54
795,4311254,RS,LAGOÃO,51
796,4311239,RS,LAGOA BONITA DO SUL,51
797,4311205,RS,JÚLIO DE CASTILHOS,55
798,4311155,RS,JÓIA,55
799,4311130,RS,JARI,55
800,4311122,RS,JAQUIRANA,54
801,4311106,RS,JAGUARI,55
802,4311007,RS,JAGUARÃO,53
803,4310900,RS,JACUTINGA,54
804,4310876,RS,JACUIZINHO,55
805,4310850,RS,JABOTICABA,55
806,4310801,RS,IVOTI,51
807,4310751,RS,IVORÁ,55
808,4310702,RS,ITATIBA DO SUL,54
809,4310652,RS,ITATI,51
810,4310603,RS,ITAQUI,55
811,4310579,RS,ITAPUCA,51
812,4310553,RS,ITACURUBI,55
813,4310538,RS,ITAARA,55
814,4310504,RS,IRAÍ,55
815,4310462,RS,IPIRANGA DO SUL,54
816,4310439,RS,IPÊ,54
817,4310413,RS,INHACORÁ,55
818,4310405,RS,INDEPENDÊNCIA,55
819,4310363,RS,IMIGRANTE,51
820,4310330,RS,IMBÉ,51
821,4310306,RS,ILÓPOLIS,51
822,4310207,RS,IJUÍ,55
823,4310108,RS,IGREJINHA,51
824,4310009,RS,IBIRUBÁ,54
825,4309951,RS,IBIRAPUITÃ,54
826,4309902,RS,IBIRAIARAS,54
827,4309803,RS,IBIAÇÁ,54
828,4309753,RS,IBARAMA,51
829,4309704,RS,HUMAITÁ,55
830,4309654,RS,HULHA NEGRA,53
831,4309605,RS,HORIZONTINA,55
832,4309571,RS,HERVEIRAS,51
833,4309555,RS,HARMONIA,51
834,4309506,RS,GUARANI DAS MISSÕES,55
835,4309407,RS,GUAPORÉ,54
836,4309308,RS,GUAÍBA,51
837,4309258,RS,GUABIJU,54
838,4309209,RS,GRAVATAÍ,51
839,4309159,RS,GRAMADO XAVIER,51
840,4309126,RS,GRAMADO DOS LOUREIROS,54
841,4309100,RS,GRAMADO,54
842,4309050,RS,GLORINHA,51
843,4309001,RS,GIRUÁ,55
844,4308904,RS,GETÚLIO VARGAS,54
845,4308854,RS,GENTIL,54
846,4308805,RS,GENERAL CÂMARA,51
847,4308706,RS,GAURAMA,54
848,4308656,RS,GARRUCHOS,55
849,4308607,RS,GARIBALDI,54
850,4308508,RS,FREDERICO WESTPHALEN,55
851,4308458,RS,FORTALEZA DOS VALOS,55
852,4308433,RS,FORQUETINHA,51
853,4308409,RS,FORMIGUEIRO,55
854,4308300,RS,FONTOURA XAVIER,54
855,4308250,RS,FLORIANO PEIXOTO,54
856,4308201,RS,FLORES DA CUNHA,54
857,4308102,RS,FELIZ,51
858,4308078,RS,FAZENDA VILANOVA,51
859,4308052,RS,FAXINALZINHO,54
860,4308003,RS,FAXINAL DO SOTURNO,55
861,4307906,RS,FARROUPILHA,54
862,4307864,RS,FAGUNDES VARELA,54
863,4307831,RS,EUGÊNIO DE CASTRO,55
864,4307815,RS,ESTRELA VELHA,51
865,4307807,RS,ESTRELA,51
866,4307708,RS,ESTEIO,51
867,4307609,RS,ESTÂNCIA VELHA,51
868,4307559,RS,ESTAÇÃO,54
869,4307500,RS,ESPUMOSO,54
870,4307450,RS,ESPERANÇA DO SUL,55
871,4307401,RS,ESMERALDA,54
872,4307302,RS,ERVAL SECO,55
873,4307203,RS,ERVAL GRANDE,54
874,4307104,RS,HERVAL,53
875,4307054,RS,ERNESTINA,54
876,4307005,RS,ERECHIM,54
877,4306973,RS,EREBANGO,54
878,4306957,RS,ENTRE RIOS DO SUL,54
879,4306932,RS,ENTRE-IJUÍS,55
880,4306924,RS,ENGENHO VELHO,54
881,4306908,RS,ENCRUZILHADA DO SUL,51
882,4306809,RS,ENCANTADO,51
883,4306767,RS,ELDORADO DO SUL,51
884,4306759,RS,DOUTOR RICARDO,51
885,4306734,RS,DOUTOR MAURÍCIO CARDOSO,55
886,4306700,RS,DONA FRANCISCA,55
887,4306601,RS,DOM PEDRITO,53
888,4306551,RS,DOM PEDRO DE ALCÂNTARA,51
889,4306502,RS,DOM FELICIANO,51
890,4306452,RS,DOIS LAJEADOS,54
891,4306429,RS,DOIS IRMÃOS DAS MISSÕES,55
892,4306403,RS,DOIS IRMÃOS,51
893,4306379,RS,DILERMANDO DE AGUIAR,55
894,4306353,RS,DEZESSEIS DE NOVEMBRO,55
895,4306320,RS,DERRUBADAS,55
896,4306304,RS,DAVID CANABARRO,54
897,4306205,RS,CRUZEIRO DO SUL,51
898,4306130,RS,CRUZALTENSE,54
899,4306106,RS,CRUZ ALTA,55
900,4306072,RS,CRISTAL DO SUL,55
901,4306056,RS,CRISTAL,51
902,4306007,RS,CRISSIUMAL,55
903,4305975,RS,COXILHA,54
904,4305959,RS,COTIPORÃ,54
905,4305934,RS,CORONEL PILAR,54
906,4305900,RS,CORONEL BICACO,55
907,4305871,RS,CORONEL BARROS,55
908,4305850,RS,COQUEIROS DO SUL,54
909,4305835,RS,COQUEIRO BAIXO,51
910,4305801,RS,CONSTANTINA,54
911,4305702,RS,CONDOR,55
912,4305603,RS,COLORADO,54
913,4305587,RS,COLINAS,51
914,4305504,RS,CIRÍACO,54
915,4305454,RS,CIDREIRA,51
916,4305447,RS,CHUVISCA,51
917,4305439,RS,CHUÍ,53
918,4305371,RS,CHARRUA,54
919,4305355,RS,CHARQUEADAS,51
920,4305306,RS,CHAPADA,54
921,4305207,RS,CERRO LARGO,55
922,4305173,RS,CERRO GRANDE DO SUL,51
923,4305157,RS,CERRO GRANDE,55
924,4305132,RS,CERRO BRANCO,51
925,4305124,RS,CERRITO,53
926,4305116,RS,CENTENÁRIO,54
927,4305108,RS,CAXIAS DO SUL,54
928,4305009,RS,CATUÍPE,55
929,4304952,RS,CASEIROS,54
930,4304903,RS,CASCA,54
931,4304853,RS,CARLOS GOMES,54
932,4304804,RS,CARLOS BARBOSA,54
933,4304713,RS,CARAÁ,51
934,4304705,RS,CARAZINHO,54
935,4304697,RS,CAPITÃO,51
936,4304689,RS,CAPELA DE SANTANA,51
937,4304671,RS,CAPIVARI DO SUL,51
938,4304663,RS,CAPÃO DO LEÃO,53
939,4304630,RS,CAPÃO DA CANOA,51
940,4304614,RS,CANUDOS DO VALE,51
941,4304606,RS,CANOAS,51
942,4304507,RS,CANGUÇU,53
943,4304408,RS,CANELA,54
944,4304358,RS,CANDIOTA,53
945,4304309,RS,CÂNDIDO GODÓI,55
946,4304200,RS,CANDELÁRIA,51
947,4304101,RS,CAMPOS BORGES,54
948,4304002,RS,CAMPO NOVO,55
949,4303905,RS,CAMPO BOM,51
950,4303806,RS,CAMPINAS DO SUL,54
951,4303707,RS,CAMPINA DAS MISSÕES,55
952,4303673,RS,CAMPESTRE DA SERRA,54
953,4303608,RS,CAMBARÁ DO SUL,54
954,4303558,RS,CAMARGO,54
955,4303509,RS,CAMAQUÃ,51
956,4303400,RS,CAIÇARA,55
957,4303301,RS,CAIBATÉ,55
958,4303202,RS,CACIQUE DOBLE,54
959,4303103,RS,CACHOEIRINHA,51
960,4303004,RS,CACHOEIRA DO SUL,51
961,4302907,RS,CACEQUI,55
962,4302808,RS,CAÇAPAVA DO SUL,55
963,4302709,RS,BUTIÁ,51
964,4302659,RS,BROCHIER,51
965,4302600,RS,BRAGA,55
966,4302584,RS,BOZANO,55
967,4302501,RS,BOSSOROCA,55
968,4302451,RS,BOQUEIRÃO DO LEÃO,51
969,4302402,RS,BOM RETIRO DO SUL,51
970,4302378,RS,BOM PROGRESSO,55
971,4302352,RS,BOM PRINCÍPIO,51
972,4302303,RS,BOM JESUS,54
973,4302253,RS,BOA VISTA DO SUL,54
974,4302238,RS,BOA VISTA DO INCRA,55
975,4302220,RS,BOA VISTA DO CADEADO,55
976,4302204,RS,BOA VISTA DO BURICÁ,55
977,4302154,RS,BOA VISTA DAS MISSÕES,55
978,4302105,RS,BENTO GONÇALVES,54
979,4302055,RS,BENJAMIN CONSTANT DO SUL,54
980,4302006,RS,BARROS CASSAL,54
981,4301958,RS,BARRA FUNDA,54
982,4301925,RS,BARRA DO RIO AZUL,54
983,4301909,RS,BARRA DO RIBEIRO,51
984,4301875,RS,BARRA DO QUARAÍ,55
985,4301859,RS,BARRA DO GUARITA,55
986,4301800,RS,BARRACÃO,54
987,4301750,RS,BARÃO DO TRIUNFO,51
988,4301701,RS,BARÃO DE COTEGIPE,54
989,4301651,RS,BARÃO,51
990,4301636,RS,BALNEÁRIO PINHAL,51
991,4301602,RS,BAGÉ,53
992,4301552,RS,ÁUREA,54
993,4301503,RS,AUGUSTO PESTANA,55
994,4301404,RS,ARVOREZINHA,51
995,4301305,RS,ARROIO GRANDE,53
996,4301206,RS,ARROIO DO TIGRE,51
997,4301107,RS,ARROIO DOS RATOS,51
998,4301073,RS,ARROIO DO PADRE,53
999,4301057,RS,ARROIO DO SAL,51
